Operator,N_less1000,N_more1000,ind_bond_less1000,ind_bond_more1000,blanket_bond_less1000,blanket_bond_more1000,bond_less1000,bond_more1000,pays_blanket_less1000,pays_blanket_more1000,current_bond
"ARB Energy Utah, LLC",0,26,0,765000,0,120000,0,120000,0,TRUE,120000
American Gilsonite Co,0,1,0,15000,0,120000,0,15000,0,FALSE,15000
Anschutz Exploration Corporation,0,6,0,270000,0,120000,0,120000,0,TRUE,120000
"Bear River Energy, LLC",0,1,0,30000,0,120000,0,30000,0,FALSE,30000
Beartooth Oil & Gas Co,0,3,0,120000,0,120000,0,120000,0,TRUE,120000
Berry Petroleum Company LLC,0,56,0,1710000,0,120000,0,120000,0,TRUE,120000
"Caerus Uinta, LLC",0,919,0,30645000,0,120000,0,120000,0,TRUE,120000
Citation Oil & Gas Corp,0,13,0,750000,0,120000,0,120000,0,TRUE,120000
"Clear Creek CBM, Inc.",0,1,0,30000,0,120000,0,30000,0,FALSE,30000
Coastal Plains Energy Inc,5,20,7500,375000,15000,120000,7500,120000,0,TRUE,127500
Cobra Oil & Gas Corp,0,10,0,6e+05,0,120000,0,120000,0,TRUE,120000
Cochrane Resources Inc,0,2,0,60000,0,120000,0,60000,0,FALSE,60000
"Crescent Energy Operating, LLC",0,323,0,17460000,0,120000,0,120000,0,TRUE,120000
Delhi-Trading LLC,0,1,0,30000,0,120000,0,30000,0,FALSE,30000
"Drillex, LLC",0,1,0,30000,0,120000,0,30000,0,FALSE,30000
Elkhorn Exploration Co,0,3,0,120000,0,120000,0,120000,0,TRUE,120000
"Finley Resources, Inc",0,165,0,5490000,0,120000,0,120000,0,TRUE,120000
"FourPoint Resources, LLC",0,198,0,6720000,0,120000,0,120000,0,TRUE,120000
"Golden Eagle Exploration, LLC",0,2,0,120000,0,120000,0,120000,0,TRUE,120000
"Greylock Production, LLC",0,118,0,3975000,0,120000,0,120000,0,TRUE,120000
"Heavy Sweet Oil, LLC",0,2,0,30000,0,120000,0,30000,0,FALSE,30000
Integrated Water Management LLC,0,2,0,60000,0,120000,0,60000,0,FALSE,60000
"Iriart, Joe",0,1,0,15000,0,120000,0,15000,0,FALSE,15000
KGH Operating Company,0,4,0,120000,0,120000,0,120000,0,TRUE,120000
Linn Bros Oil & Gas Inc,0,2,0,30000,0,120000,0,30000,0,FALSE,30000
"Middle Fork Energy Uinta, LLC",0,103,0,3720000,0,120000,0,120000,0,TRUE,120000
"Moose Mountain Divide #1, LLC",0,1,0,30000,0,120000,0,30000,0,FALSE,30000
"MountainWest Pipeline, LLC",0,15,0,360000,0,120000,0,120000,0,TRUE,120000
"NADK, LLC",0,2,0,60000,0,120000,0,60000,0,FALSE,60000
"NGL Supply Terminal Solution Mining, LLC",0,3,0,90000,0,120000,0,90000,0,FALSE,90000
National Fuel Corporation,0,7,0,270000,0,120000,0,120000,0,TRUE,120000
