Operator,V1,tot_operator_wells,avg_depth,avg_atrisk_depth,tot_feestate_wells,tot_atrisk,tot_atrisk_feestate,BOEperday,tier,bond,tier1marginal,tier2marginal,tier3marginal,individual_well_bond,UPA_tier,UPA_tier1marginal,UPA_tier2marginal,UPA_tier3marginal,UPA_individual_well_bond,UPA_bond,UPA_bond_alt,bond_dif,bond_diff_alt
"ARB Energy Utah, LLC",44,161,5959.63732865965,1703,26,37,1,617.662446858762,3,8e+05,0,0,0,1195000,2,0,0,0,1195000,6e+05,6e+05,2e+05,2e+05
American Gilsonite Co,1,1,1600,,1,0,0,0,No tier,20000,0,0,0,20000,4,0,0,0,20000,20000,20000,0,0
Anschutz Exploration Corporation,2,50,6642.66406609469,11215,5,25,3,723.86887104393,No tier,405000,0,0,0,405000,2,0,0,0,405000,3e+05,3e+05,105000,105000
"Bear River Energy, LLC",3,1,4217,,1,0,0,1.27671232876712,No tier,40000,0,0,0,40000,4,0,0,0,40000,40000,40000,0,0
Beartooth Oil & Gas Co,4,25,6634.68,,3,3,0,154.863675011809,No tier,190000,0,0,0,190000,4,0,0,0,190000,190000,190000,0,0
Berry Petroleum Company LLC,53,1338,6305.40404945892,6745.33333333333,56,188,3,6857.70949456779,1,5e+05,0,0,0,3385000,1,0,0,0,3385000,5e+05,5e+05,0,0
"Caerus Uinta, LLC",54,2684,8827.2429240916,8788.91428571429,925,225,35,28750.9523854511,1,2225000,975000,1462500,1950000,69595000,1,650000,975000,1300000,69595000,1900000,1250000,325000,975000
Citation Oil & Gas Corp,48,41,8504.14634146341,,13,1,0,679.448464808691,2,450000,0,0,0,1180000,2,0,0,0,1180000,450000,450000,0,0
"Clear Creek CBM, Inc.",5,1,5730,5730,1,1,1,0,No tier,40000,0,0,0,40000,4,0,0,0,40000,40000,40000,0,0
Coastal Plains Energy Inc,6,38,2634.97368421053,1591.42857142857,26,14,7,156.318847425602,No tier,615000,0,0,0,615000,4,0,0,0,615000,615000,615000,0,0
Cobra Oil & Gas Corp,45,25,11680.4,12230,10,5,1,460.350779404818,3,4e+05,0,0,0,9e+05,3,0,0,0,9e+05,4e+05,4e+05,0,0
Cochrane Resources Inc,7,4,7072.25,,2,2,0,14.1726972130373,No tier,130000,0,0,0,130000,4,0,0,0,130000,130000,130000,0,0
Delhi-Trading LLC,8,6,5534.83333333333,5616,1,3,1,10.144544166273,No tier,40000,0,0,0,40000,4,0,0,0,40000,40000,40000,0,0
"Drillex, LLC",9,1,4600,4600,1,1,1,0.0219178082191781,No tier,40000,0,0,0,40000,4,0,0,0,40000,40000,40000,0,0
Elkhorn Exploration Co,10,3,8979.06776824489,8979.06776824489,3,3,3,0.0246575342465753,No tier,240000,0,0,0,240000,4,0,0,0,240000,240000,240000,0,0
"Finley Resources, Inc",55,558,7608.09326399496,8423.2,166,67,10,10750.0629192253,1,975000,325000,487500,650000,11840000,1,0,0,0,11840000,650000,650000,325000,325000
"FourPoint Resources, LLC",56,551,7971.55072217542,7618,188,71,6,34210.878601795,1,650000,0,0,0,13425000,1,0,0,0,13425000,650000,650000,0,0
"Golden Eagle Exploration, LLC",11,3,13779,13588.5,2,3,2,0,No tier,195000,0,0,0,195000,4,0,0,0,195000,195000,195000,0,0
"Greylock Production, LLC",49,1276,8456.29388714734,7428.83333333333,118,217,6,7397.84846480871,2,975000,0,0,0,8525000,1,0,0,0,8525000,650000,650000,325000,325000
"Heavy Sweet Oil, LLC",12,2,7391.60165236733,7391.60165236733,2,1,1,0,No tier,130000,0,0,0,130000,4,0,0,0,130000,130000,130000,0,0
"Homeland Gas & Oil, Inc",13,21,11081.2857142857,13209,2,20,1,11.0295701464336,No tier,220000,0,0,0,220000,4,0,0,0,220000,220000,220000,0,0
Integrated Water Management LLC,14,2,5510.5,,2,0,0,0,No tier,80000,0,0,0,80000,4,0,0,0,80000,80000,80000,0,0
"Iriart, Joe",15,1,1187,1187,1,1,1,0,No tier,20000,0,0,0,20000,4,0,0,0,20000,20000,20000,0,0
"Javelin Energy Partners Management, LLC",57,432,11780.3838651449,14271.7272727273,333,17,11,33895.9217760983,1,1350000,550000,825000,1100000,31570000,1,0,0,0,31570000,8e+05,8e+05,550000,550000
KGH Operating Company,16,4,6568,,4,0,0,104.251676901275,No tier,235000,0,0,0,235000,4,0,0,0,235000,235000,235000,0,0
Linn Bros Oil & Gas Inc,17,2,1982,1982,2,2,2,0.698630136986301,No tier,40000,0,0,0,40000,4,0,0,0,40000,40000,40000,0,0
"Middle Fork Energy Uinta, LLC",58,1111,8685.9084407392,7559,103,99,5,37878.202739726,1,650000,0,0,0,6800000,1,0,0,0,6800000,650000,650000,0,0
"Moose Mountain Divide #1, LLC",18,1,8050,,1,0,0,27.7803495512518,No tier,65000,0,0,0,65000,4,0,0,0,65000,65000,65000,0,0
"Morning Gun Exploration, LLC",19,1,7814,7814,1,1,1,0,No tier,65000,0,0,0,65000,4,0,0,0,65000,65000,65000,0,0
"MountainWest Pipeline, LLC",20,60,5301.60338841224,,15,0,0,0,No tier,560000,0,0,0,560000,4,0,0,0,560000,560000,560000,0,0
"NADK, LLC",21,2,7145,,2,0,0,4.66537553141238,No tier,130000,0,0,0,130000,4,0,0,0,130000,130000,130000,0,0
"NGL Supply Terminal Solution Mining, LLC",22,3,4926,,3,0,0,0,No tier,120000,0,0,0,120000,4,0,0,0,120000,120000,120000,0,0
National Fuel Corporation,46,21,7868.88579296987,10165,7,2,1,227.377893245158,3,4e+05,0,0,0,535000,3,0,0,0,535000,4e+05,4e+05,0,0
"North Shore Exploration & Production, LLC",23,27,11755.1412303311,11510.9148365034,27,21,21,471.851110061408,No tier,2495000,850000,1275000,1700000,2495000,3,0,0,0,2495000,8e+05,8e+05,1695000,1695000
"Northstar Gas, Inc.",24,4,6679.25,6679.25,4,4,4,0,No tier,235000,0,0,0,235000,4,0,0,0,235000,235000,235000,0,0
"Paradox Upstream, LLC",25,7,6807.28571428571,6371.2,6,6,5,2.18516769012754,No tier,340000,0,0,0,340000,4,0,0,0,340000,340000,340000,0,0
"Price River Energy, LLC",26,15,4493.6,4250.25,15,8,8,162.53330184223,No tier,625000,0,0,0,625000,4,0,0,0,625000,625000,625000,0,0
Quinex Energy Corp,50,22,13847.0454545455,14300,17,4,1,708.130845536136,2,450000,0,0,0,1820000,2,0,0,0,1820000,450000,450000,0,0
"Robert L Bayless Producer, LLC",27,45,7749.06666666667,7581.2,27,19,15,390.094945677846,No tier,1860000,325000,487500,650000,1860000,3,0,0,0,1860000,8e+05,8e+05,1060000,1060000
Rose Petroleum (Utah) LLC,28,7,9774.85714285714,9205,3,4,2,26.9430325932924,No tier,255000,0,0,0,255000,4,0,0,0,255000,255000,255000,0,0
SEP NOSR LLC,29,2,13509.5,,2,0,0,51.8110533774209,No tier,220000,0,0,0,220000,4,0,0,0,220000,220000,220000,0,0
SM Energy Company,59,254,10528.9964207882,13637.7272727273,228,11,11,41191.2354274918,1,1200000,550000,825000,1100000,20195000,1,0,0,0,20195000,650000,650000,550000,550000
"Sage Water Resources, LLC",30,1,9234,,1,0,0,0,No tier,85000,0,0,0,85000,4,0,0,0,85000,85000,85000,0,0
"Scout Energy Management, LLC",47,2815,6246.91090997036,5976.96296296296,287,1008,54,8981.25214926782,3,3600000,1e+06,1500000,2e+06,16120000,1,1300000,1950000,2600000,16120000,2100000,8e+05,1500000,2800000
"Shiny One Operating Company, LLC",31,10,7631.5,7124.33333333333,3,10,3,0.00897496457250827,No tier,195000,0,0,0,195000,4,0,0,0,195000,195000,195000,0,0
"Skyline Operating Company, LLC",32,1,12997,,1,0,0,5.97496457250827,No tier,110000,0,0,0,110000,4,0,0,0,110000,110000,110000,0,0
"Star Oil Operating Company, LLC",33,134,2330.81792277886,1950,3,127,2,26.1132735002362,No tier,60000,0,0,0,60000,4,0,0,0,60000,60000,60000,0,0
"Summit Operating, LLC",34,11,6510,5617.5,3,3,2,100.857345299953,No tier,170000,0,0,0,170000,4,0,0,0,170000,170000,170000,0,0
"Synergy Operating, LLC",35,3,6368.33333333333,6370,3,2,2,12.0803023145961,No tier,195000,0,0,0,195000,4,0,0,0,195000,195000,195000,0,0
"True Oil, LLC",36,1,15612,15612,1,1,1,0.160037789324516,No tier,110000,0,0,0,110000,4,0,0,0,110000,110000,110000,0,0
"Uinta Wax Operating, LLC",60,562,8095.61609361907,8013.25,247,45,8,22362.4404345772,1,650000,0,0,0,17405000,1,0,0,0,17405000,650000,650000,0,0
"Urban Oil & Gas Group, LLC",61,898,3226.01270223772,4140.375,600,44,16,12688.2654700047,1,1200000,2e+05,3e+05,4e+05,19400000,1,0,0,0,19400000,1e+06,1e+06,2e+05,2e+05
Utah Gas Op Ltd,62,609,8120.77440051593,8857.44011015782,87,80,15,3540.25460557393,1,825000,325000,487500,650000,6380000,1,0,0,0,6380000,5e+05,5e+05,325000,325000
"Valence Resources, LLC",37,1,7391.60165236733,7391.60165236733,1,1,1,0,No tier,65000,0,0,0,65000,4,0,0,0,65000,65000,65000,0,0
"Vaquero Uinta, LLC",63,165,6888.9164337368,6395.33333333333,78,12,3,1721.52102031176,1,5e+05,0,0,0,5065000,1,0,0,0,5065000,5e+05,5e+05,0,0
"WEM Operating, LLC",38,7,5441.85714285714,6282,3,3,1,62.6745394426075,No tier,195000,0,0,0,195000,4,0,0,0,195000,195000,195000,0,0
"Wapiti Operating, LLC",51,546,8706.42161777424,9999.42857142857,84,90,7,5722.50288143599,2,750000,0,0,0,7130000,1,0,0,0,7130000,5e+05,5e+05,250000,250000
Water Disposal Inc,39,1,7391.60165236733,7391.60165236733,1,1,1,0,No tier,65000,0,0,0,65000,4,0,0,0,65000,65000,65000,0,0
"Wesco Operating, Inc",40,39,7840.33333333333,7452,7,12,2,355.916107699575,No tier,475000,0,0,0,475000,3,0,0,0,475000,4e+05,4e+05,75000,75000
Wesgra Corporation,41,64,1217.61268072768,1325.36910920453,45,64,45,3.07945205479452,No tier,640000,4e+05,6e+05,8e+05,640000,4,2e+05,3e+05,4e+05,640000,640000,640000,0,0
"Western Resources and Clean Energy, LLC",42,1,6420,,1,0,0,13.069815777043,No tier,65000,0,0,0,65000,4,0,0,0,65000,65000,65000,0,0
Wexpro Company,52,85,7524.18144862521,9562.5,11,5,2,809.955786490316,2,450000,0,0,0,795000,2,0,0,0,795000,450000,450000,0,0
"Wolverine Gas & Oil Company of Utah, LLC",64,40,7779.86504130918,6515,10,5,1,3453.96098252244,1,2e+05,0,0,0,755000,1,0,0,0,755000,2e+05,2e+05,0,0
"Zephyr Salt Wash, LLC",43,1,7391.60165236733,,1,0,0,0,No tier,65000,0,0,0,65000,4,0,0,0,65000,65000,65000,0,0
