"","Operator","tot_operator_wells","avg_depth","avg_atrisk_depth","tot_feestate_wells","tot_atrisk","tot_atrisk_feestate","BOEperday","tier","bond","tier1marginal","tier2marginal","tier3marginal","individual_well_bond"
"1","American Gilsonite Co",1,1600,NA,1,0,0,0,"No tier",20000,0,0,0,20000
"2","Anschutz Exploration Corporation",50,6642.66406609469,11215,5,25,3,723.86887104393,"No tier",405000,0,0,0,405000
"3","Bear River Energy, LLC",1,4217,NA,1,0,0,1.27671232876712,"No tier",40000,0,0,0,40000
"4","Beartooth Oil & Gas Co",25,6634.68,NA,3,3,0,154.863675011809,"No tier",190000,0,0,0,190000
"5","Clear Creek CBM, Inc.",1,5730,5730,1,1,1,0,"No tier",40000,0,0,0,40000
"6","Coastal Plains Energy Inc",38,2634.97368421053,1591.42857142857,26,14,7,156.318847425602,"No tier",615000,0,0,0,615000
"7","Cochrane Resources Inc",4,7072.25,NA,2,2,0,14.1726972130373,"No tier",130000,0,0,0,130000
"8","Delhi-Trading LLC",6,5534.83333333333,5616,1,3,1,10.144544166273,"No tier",40000,0,0,0,40000
"9","Drillex, LLC",1,4600,4600,1,1,1,0.0219178082191781,"No tier",40000,0,0,0,40000
"10","Elkhorn Exploration Co",3,8979.06776824489,8979.06776824489,3,3,3,0.0246575342465753,"No tier",240000,0,0,0,240000
"11","Golden Eagle Exploration, LLC",3,13779,13588.5,2,3,2,0,"No tier",195000,0,0,0,195000
"12","Heavy Sweet Oil, LLC",2,7391.60165236733,7391.60165236733,2,1,1,0,"No tier",130000,0,0,0,130000
"13","Homeland Gas & Oil, Inc",21,11081.2857142857,13209,2,20,1,11.0295701464336,"No tier",220000,0,0,0,220000
"14","Integrated Water Management LLC",2,5510.5,NA,2,0,0,0,"No tier",80000,0,0,0,80000
"15","Iriart, Joe",1,1187,1187,1,1,1,0,"No tier",20000,0,0,0,20000
"16","KGH Operating Company",4,6568,NA,4,0,0,104.251676901275,"No tier",235000,0,0,0,235000
"17","Linn Bros Oil & Gas Inc",2,1982,1982,2,2,2,0.698630136986301,"No tier",40000,0,0,0,40000
"18","Moose Mountain Divide #1, LLC",1,8050,NA,1,0,0,27.7803495512518,"No tier",65000,0,0,0,65000
"19","Morning Gun Exploration, LLC",1,7814,7814,1,1,1,0,"No tier",65000,0,0,0,65000
"20","MountainWest Pipeline, LLC",60,5301.60338841224,NA,15,0,0,0,"No tier",560000,0,0,0,560000
"21","NADK, LLC",2,7145,NA,2,0,0,4.66537553141238,"No tier",130000,0,0,0,130000
"22","NGL Supply Terminal Solution Mining, LLC",3,4926,NA,3,0,0,0,"No tier",120000,0,0,0,120000
"23","North Shore Exploration & Production, LLC",27,11755.1412303311,11510.9148365034,27,21,21,471.851110061408,"No tier",2495000,850000,1275000,1700000,2495000
"24","Northstar Gas, Inc.",4,6679.25,6679.25,4,4,4,0,"No tier",235000,0,0,0,235000
"25","Paradox Upstream, LLC",7,6807.28571428571,6371.2,6,6,5,2.18516769012754,"No tier",340000,0,0,0,340000
"26","Price River Energy, LLC",15,4493.6,4250.25,15,8,8,162.53330184223,"No tier",625000,0,0,0,625000
"27","Robert L Bayless Producer, LLC",45,7749.06666666667,7581.2,27,19,15,390.094945677846,"No tier",1860000,325000,487500,650000,1860000
"28","Rose Petroleum (Utah) LLC",7,9774.85714285714,9205,3,4,2,26.9430325932924,"No tier",255000,0,0,0,255000
"29","SEP NOSR LLC",2,13509.5,NA,2,0,0,51.8110533774209,"No tier",220000,0,0,0,220000
"30","Sage Water Resources, LLC",1,9234,NA,1,0,0,0,"No tier",85000,0,0,0,85000
"31","Shiny One Operating Company, LLC",10,7631.5,7124.33333333333,3,10,3,0.00897496457250827,"No tier",195000,0,0,0,195000
"32","Skyline Operating Company, LLC",1,12997,NA,1,0,0,5.97496457250827,"No tier",110000,0,0,0,110000
"33","Star Oil Operating Company, LLC",134,2330.81792277886,1950,3,127,2,26.1132735002362,"No tier",60000,0,0,0,60000
"34","Summit Operating, LLC",11,6510,5617.5,3,3,2,100.857345299953,"No tier",170000,0,0,0,170000
"35","Synergy Operating, LLC",3,6368.33333333333,6370,3,2,2,12.0803023145961,"No tier",195000,0,0,0,195000
"36","True Oil, LLC",1,15612,15612,1,1,1,0.160037789324516,"No tier",110000,0,0,0,110000
"37","Valence Resources, LLC",1,7391.60165236733,7391.60165236733,1,1,1,0,"No tier",65000,0,0,0,65000
"38","WEM Operating, LLC",7,5441.85714285714,6282,3,3,1,62.6745394426075,"No tier",195000,0,0,0,195000
"39","Water Disposal Inc",1,7391.60165236733,7391.60165236733,1,1,1,0,"No tier",65000,0,0,0,65000
"40","Wesco Operating, Inc",39,7840.33333333333,7452,7,12,2,355.916107699575,"No tier",475000,0,0,0,475000
"41","Wesgra Corporation",64,1217.61268072768,1325.36910920453,45,64,45,3.07945205479452,"No tier",640000,4e+05,6e+05,8e+05,640000
"42","Western Resources and Clean Energy, LLC",1,6420,NA,1,0,0,13.069815777043,"No tier",65000,0,0,0,65000
"43","Zephyr Salt Wash, LLC",1,7391.60165236733,NA,1,0,0,0,"No tier",65000,0,0,0,65000
"44","ARB Energy Utah, LLC",161,5959.63732865965,1703,26,37,1,617.662446858762,"3",8e+05,0,0,0,1195000
"45","Cobra Oil & Gas Corp",25,11680.4,12230,10,5,1,460.350779404818,"3",4e+05,0,0,0,9e+05
"46","National Fuel Corporation",21,7868.88579296987,10165,7,2,1,227.377893245158,"3",4e+05,0,0,0,535000
"47","Scout Energy Management, LLC",2815,6246.91090997036,5976.96296296296,287,1008,54,8981.25214926782,"3",3600000,1e+06,1500000,2e+06,16120000
"48","Citation Oil & Gas Corp",41,8504.14634146341,NA,13,1,0,679.448464808691,"2",450000,0,0,0,1180000
"49","Greylock Production, LLC",1276,8456.29388714734,7428.83333333333,118,217,6,7397.84846480871,"2",975000,0,0,0,8525000
"50","Quinex Energy Corp",22,13847.0454545455,14300,17,4,1,708.130845536136,"2",450000,0,0,0,1820000
"51","Wapiti Operating, LLC",546,8706.42161777424,9999.42857142857,84,90,7,5722.50288143599,"2",750000,0,0,0,7130000
"52","Wexpro Company",85,7524.18144862521,9562.5,11,5,2,809.955786490316,"2",450000,0,0,0,795000
"53","Berry Petroleum Company LLC",1338,6305.40404945892,6745.33333333333,56,188,3,6857.70949456779,"1",5e+05,0,0,0,3385000
"54","Caerus Uinta, LLC",2684,8827.2429240916,8788.91428571429,925,225,35,28750.9523854511,"1",2225000,975000,1462500,1950000,69595000
"55","Finley Resources, Inc",558,7608.09326399496,8423.2,166,67,10,10750.0629192253,"1",975000,325000,487500,650000,11840000
"56","FourPoint Resources, LLC",551,7971.55072217542,7618,188,71,6,34210.878601795,"1",650000,0,0,0,13425000
"57","Javelin Energy Partners Management, LLC",432,11780.3838651449,14271.7272727273,333,17,11,33895.9217760983,"1",1350000,550000,825000,1100000,31570000
"58","Middle Fork Energy Uinta, LLC",1111,8685.9084407392,7559,103,99,5,37878.202739726,"1",650000,0,0,0,6800000
"59","SM Energy Company",254,10528.9964207882,13637.7272727273,228,11,11,41191.2354274918,"1",1200000,550000,825000,1100000,20195000
"60","Uinta Wax Operating, LLC",562,8095.61609361907,8013.25,247,45,8,22362.4404345772,"1",650000,0,0,0,17405000
"61","Urban Oil & Gas Group, LLC",898,3226.01270223772,4140.375,600,44,16,12688.2654700047,"1",1200000,2e+05,3e+05,4e+05,19400000
"62","Utah Gas Op Ltd",609,8120.77440051593,8857.44011015782,87,80,15,3540.25460557393,"1",825000,325000,487500,650000,6380000
"63","Vaquero Uinta, LLC",165,6888.9164337368,6395.33333333333,78,12,3,1721.52102031176,"1",5e+05,0,0,0,5065000
"64","Wolverine Gas & Oil Company of Utah, LLC",40,7779.86504130918,6515,10,5,1,3453.96098252244,"1",2e+05,0,0,0,755000
