Operator,tot_operator_wells,tot_atrisk,avg_depth,tot_BOE,tot_feestate,tot_feestate_atrisk,avg_atrisk_depth,pct_atrisk,BOEperday,tier1,tier2,tier3,tier,at_risk_threshold,atrisk_bond_count,tier1blanket,tier1marginal,tier2blanket,tier2marginal,tier3blanket,tier3marginal,individual_well_bond,bond
"ARB Energy Utah, LLC",161,45,5876.68231459632,197744.586206897,26,3,4808.66666666667,0.279503105590062,541.765989607936,FALSE,FALSE,FALSE,4,,,4e+05,0,6e+05,0,8e+05,0,1195000,1195000
American Gilsonite Co,1,0,1600,0,1,0,,0,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,20000,20000
Anschutz Exploration Corporation,50,20,6601.26526500078,533606.517241379,6,3,11215,0.4,1461.93566367501,FALSE,FALSE,TRUE,3,0.48,0,2e+05,0,3e+05,0,4e+05,0,470000,4e+05
"Bear River Energy, LLC",1,1,4217,47,1,1,4217,1,0.128767123287671,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Beartooth Oil & Gas Co,25,3,6634.68,57209.7586206897,3,0,,0.12,156.739064714218,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,190000,190000
Berry Petroleum Company LLC,1329,205,6298.77156553802,2211618.68965517,56,5,6478.4,0.154251316779534,6059.2292867265,TRUE,TRUE,TRUE,1,11.2,0,5e+05,0,750000,0,1e+06,0,3385000,5e+05
"Caerus Uinta, LLC",2663,235,8834.67855801728,10006328.6551724,919,34,8971.85294117647,0.0882463387157341,27414.5990552669,TRUE,TRUE,TRUE,1,183.8,0,1250000,0,1875000,0,2500000,0,69165000,1250000
Citation Oil & Gas Corp,41,1,8504.14634146341,212468.103448276,13,0,,0.024390243902439,582.104393008975,FALSE,TRUE,TRUE,2,1.69,0,3e+05,0,450000,0,6e+05,0,1180000,450000
"Clear Creek CBM, Inc.",1,1,5730,0,1,1,5730,1,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Coastal Plains Energy Inc,30,11,2276,38583.7931034483,25,6,1302.5,0.366666666666667,105.709022201228,FALSE,FALSE,FALSE,4,,,3e+05,0,450000,0,6e+05,0,575000,575000
Cobra Oil & Gas Corp,25,7,11680.4,202274.448275862,10,3,11166.6666666667,0.28,554.1765706188,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,9e+05,9e+05
Cochrane Resources Inc,4,2,7072.25,5173.79310344828,2,0,,0.5,14.1747756258857,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,130000,130000
"Crescent Energy Operating, LLC",413,28,11804.4579077483,9353877.65517241,323,21,13081.0952380952,0.0677966101694915,25627.0620689655,TRUE,TRUE,TRUE,1,64.6,0,8e+05,0,1200000,0,1600000,0,30680000,8e+05
Delhi-Trading LLC,6,3,5534.83333333333,3963,1,1,5616,0.5,10.8575342465753,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
"Drillex, LLC",1,1,4600,75,1,1,4600,1,0.205479452054795,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Elkhorn Exploration Co,3,3,8575.23510000518,80.6896551724138,3,3,8575.23510000518,1,0.221067548417572,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,240000,240000
"Finley Resources, Inc",556,67,7576.23655845338,3145637.72413793,165,8,8913.25,0.120503597122302,8618.18554558337,TRUE,TRUE,TRUE,1,33,0,650000,0,975000,0,1300000,0,11750000,650000
"FourPoint Resources, LLC",563,52,7916.4162864127,10413955.7241379,198,9,7173.55555555556,0.0923623445825933,28531.3855455834,TRUE,TRUE,TRUE,1,39.6,0,650000,0,975000,0,1300000,0,14075000,650000
"Golden Eagle Exploration, LLC",3,3,13779,0,2,2,13588.5,1,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,195000,195000
"Greylock Production, LLC",1274,199,8456.79827315542,2665929.65517241,118,2,9435,0.156200941915228,7303.91686348607,TRUE,TRUE,TRUE,1,23.6,0,650000,0,975000,0,1300000,0,8525000,650000
"Heavy Sweet Oil, LLC",2,2,1205,12,2,2,1205,1,0.0328767123287671,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Integrated Water Management LLC,2,0,5510.5,0,2,0,,0,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,80000,80000
"Iriart, Joe",1,1,1187,53.6206896551724,1,1,1187,1,0.146905999055267,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,20000,20000
KGH Operating Company,4,0,6568,52976.5172413793,4,0,,0,145.141143127067,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,235000,235000
Linn Bros Oil & Gas Inc,2,1,1982,708.068965517241,2,1,1439,0.5,1.93991497401984,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
"Middle Fork Energy Uinta, LLC",1095,71,8712.14489858478,13542439.0689655,103,4,8205,0.0648401826484018,37102.5727916864,TRUE,TRUE,TRUE,1,20.6,0,650000,0,975000,0,1300000,0,6775000,650000
"Moose Mountain Divide #1, LLC",1,0,8050,10733.1379310345,1,0,,0,29.4058573453,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,65000,65000
"MountainWest Pipeline, LLC",60,0,5281.41175500026,0,15,0,,0,0,FALSE,FALSE,FALSE,4,,,3e+05,0,450000,0,6e+05,0,560000,560000
"NADK, LLC",2,1,7145,1489.96551724138,2,1,7150,0.5,4.08209730751063,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,130000,130000
"NGL Supply Terminal Solution Mining, LLC",3,0,4926,0,3,0,,0,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,120000,120000
National Fuel Corporation,21,1,7840.04060238132,77044.3448275862,7,0,,0.0476190476190476,211.080396787907,FALSE,FALSE,TRUE,3,0.56,0,2e+05,0,3e+05,0,4e+05,0,535000,4e+05
"North Shore Exploration & Production, LLC",27,19,13912.8518518519,114760.275862069,27,19,14169.7368421053,0.703703703703704,314.4117146906,FALSE,FALSE,FALSE,4,,,4e+05,0,6e+05,0,8e+05,0,2855000,2855000
